Player,Passyards,TD,INT
Tom Brady,5316,43,12
Justin Herbert,5014,38,15
Matthew Stafford,4886,41,17
Patrick Mahomes,4839,37,13
Derek Carr,4804,23,14
Joe Burrow,4611,34,14
Dak Prescott,4449,37,10
Josh Allen,4407,36,15
Kirk Cousins,4221,33,7
Aaron Rodgers,4115,37,4
Matt Ryan,3968,20,12
Jimmy Garoppolo,3810,20,12
Mac Jones,3801,22,13
Kyler Murray,3787,24,10
Ben Roethlisberger,3740,22,10
Ryan Tannehill,3734,21,14
Trevor Lawrence,3641,12,17
Carson Wentz,3563,27,7
Taylor Heinicke,3419,20,15
Jared Goff,3245,19,8
Jalen Hurts,3144,16,9
Russell Wilson,3113,25,6
Teddy Bridgewater,3052,18,7
Baker Mayfield,3010,17,13
Lamar Jackson,2882,16,13
Davis Mills,2664,16,10
Tua Tagovailoa,2653,16,10
Sam Darnold,2527,9,13
Daniel Jones,2428,10,7
Zach Wilson,2334,9,11
Justin Fields,1870,7,10
Andy Dalton,1515,8,9
Jacoby Brissett,1283,5,4
Jameis Winston,1170,14,3
Trevor Siemian,1154,11,3
Tyler Huntley,1081,3,4
Taysom Hill,978,4,5
Tyrod Taylor,966,5,5
Mike White,953,5,8
Mike Glennon,790,4,10
Drew Lock,787,2,2
Colt McCoy,740,3,1
Geno Smith,702,5,1
Cam Newton,684,4,5
Josh Johnson,638,5,2
Trey Lance,603,5,2
Tim Boyle,526,3,6
Case Keenum,462,3,1
Gardner Minshew,439,4,1
Cooper Rush,422,3,1
Jordan Love,411,2,3
P.J. Walker,362,1,3
Joe Flacco,338,3,0
Mason Rudolph,277,1,1
Nick Foles,250,1,0
Brian Hoyer,227,1,0
Jake Fromm,210,1,3
Garrett Gilbert,194,0,0
Sean Mannion,189,1,0
Brandon Allen,149,2,0
Nick Mullens,147,1,0
Ian Book,135,0,2
Kyle Allen,120,0,0
Ced Wilson,88,0,0
Chad Henne,82,0,0
Tom Kennedy,75,1,0
Blaine Gabbert,67,0,0
Jacob Eason,50,0,2
Tyler Boyd,46,0,0
Jakobi Meyers,45,0,0
Mitchell Trubisky,43,0,1
Jack Fox,38,0,0
Chris Streveler,36,0,0
Justin Jefferson,35,0,0
Christian Kirk,33,0,0
